"ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cntrl no infection","exp - actin","scramble - cntrl","scramble - cntrl.1","exp - actin.1","ref transcriptome","ref transcriptome.1"
"ENSMUSG00000000001","Gnai3",14679,"protein_coding","3",108014596,108053462,41.65,1738.41177451925,0.855072268548158,0.381856857103567,2.23924817020176,0.025139773180058,0.370642582925705,1365.76731156217,1760.881247463,2179.72218338238,2668.05236952418,1514.39768857228,1302.67854963745,1377.3830714933
"ENSMUSG00000000028","Cdc45",12544,"protein_coding","16",18599197,18630737,46.23,88.1781040052168,4.74594125021613,1.81353667660891,2.61695355347896,0.00887184123742647,0.233912639678237,0,401.04281042698,79.2274907080476,26.4163600942988,106.603563998877,3.95650280831421,0
"ENSMUSG00000000056","Narf",67608,"protein_coding","11",121128079,121146682,46.96,781.496383939422,0.939985426380868,0.485037108001409,1.93796600481573,0.0526273701780819,0.508625243935994,471.527269543135,964.693314997672,1046.38259069287,810.708982204342,1209.21885830099,467.856457083156,500.08721475379
"ENSMUSG00000000058","Cav2",12390,"protein_coding","6",17281184,17289114,39.77,3476.14095671466,0.0132616686063037,0.538012668607706,0.0246493612141567,0.980334646689042,0.998500264592062,5293.77641599419,4282.56429705953,2824.17018706858,3829.46130470456,1510.21715665076,3148.38710971603,3444.41022580896
"ENSMUSG00000000078","Klf6",23849,"protein_coding","13",5911481,5920393,43.44,1178.90565059587,1.3023309452917,0.845566058306867,1.54018829457209,0.123514462320455,0.676856230882256,790.379409961071,367.341733920511,1789.38186330859,1983.95973397872,1791.35792837329,312.563721856823,1217.35516277208
"ENSMUSG00000000085","Scmh1",29871,"protein_coding","4",120262478,120387383,39.89,471.704924371418,-0.0502860789685313,0.75506564965501,-0.0665982871708004,0.946901509359852,0.990876188950433,492.299395954727,213.159308903416,623.19184764257,368.007223382645,579.003671131156,396.6394065335,629.633617051914
"ENSMUSG00000000088","Cox5a",12858,"protein_coding","9",57428557,57439709,42.75,3753.00988842278,-0.304770397841244,0.450190266392439,-0.676981313442192,0.498417810613542,0.918164472752895,2817.73894773244,3911.85245548838,3671.51786208026,3052.45595434466,4511.83907630542,5574.71245691472,2730.95246609355
"ENSMUSG00000000127","Fer",14158,"protein_coding","17",64170057,64446491,40.27,315.736665836347,-0.873582246035358,1.08125017430041,-0.807937207132091,0.419126730933494,0.887709401104454,433.09883568169,89.3078527421425,97.5850800184489,469.118118915996,82.5655054501107,881.311000551991,157.170267494048
"ENSMUSG00000000131","Xpo6",74204,"protein_coding","7",125700887,125799673,43.53,675.651974843788,0.913068792770426,0.686630695284937,1.32978149541002,0.183590274529872,0.723398085430846,849.579970234107,909.086538761998,857.975753033491,677.716272764079,619.763857366021,207.716397436496,607.72503431032
"ENSMUSG00000000134","Tfe3",209446,"protein_coding","X",7628799,7641441,51.75,630.885832835601,0.317927361581163,0.645109684295702,0.492826831344594,0.622134950438554,0.948908078562932,727.024424405715,482.767920955167,756.525917370747,720.528994296219,544.514282778578,331.357110196315,853.482179846468
"ENSMUSG00000000149","Gna12",14673,"protein_coding","5",140744163,140816186,47.49,1478.63221980126,-0.308457732475134,0.789002036717237,-0.390946687233558,0.695836643288676,0.956077661568044,1067.68729755582,219.056997292048,1863.77840946127,1528.50524959425,1470.50210339628,1601.39451166518,2599.50096964399
