"ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cntrl no infection","scramble - cntrl","scramble - cntrl.1","exp - arc","exp - arc.1","ref transcriptome","ref transcriptome.1"
"actb_5-UTR_EXONS_3-UTR_24xms2_3-UTR_gene",NA,NA,NA,NA,NA,NA,NA,485.933592507943,-2.2888958353046,0.870811449591491,-2.6284631838251,0.00857716392939883,0.434673355960669,449.692347835043,57.0669082874024,829.095087484115,51.6677559814625,52.0024762610859,847.560094019414,1114.45047768708
"arc_5-UTR_EXONS_3-UTR_24xpp7v3_3-UTR_gene",NA,NA,NA,NA,NA,NA,NA,596.536961414673,-1.66494543440122,0.750501979677473,-2.21844242851529,0.0265246809099578,0.71738953529397,903.445123190042,1123.2669781237,150.498782184617,364.713571633853,274.457513600176,682.645688933089,676.731072237233
"ENSMUSG00000000001","Gnai3",14679,"protein_coding","3",108014596,108053462,41.65,1795.01126244824,0.116413664952279,0.472679566486882,0.246284530168092,0.805461984338743,0.999857109302383,1334.86554718529,2145.71575160633,2639.58642526193,1990.72824516811,1782.52932517167,1316.31679696175,1355.3367457826
"ENSMUSG00000000028","Cdc45",12544,"protein_coding","16",18599197,18630737,46.23,44.3052938344432,1.37265643899835,2.65558476583732,0.516894228592075,0.605229996692316,0.999857109302383,0,77.9914413261166,26.1345190619993,112.453351253771,89.5598202274257,3.99792497178969,0
"ENSMUSG00000000031","H19",14955,"lncRNA","7",142129262,142131917,55.91,66.9598895311432,22.423824356364,3.31721589935945,6.75983265385108,1.38151215710251e-11,4.4940383204689e-08,0,0,268.554713119855,152.977081435311,47.1874321628372,0,0
"ENSMUSG00000000049","Apoh",11818,"protein_coding","11",108234180,108305222,43.83,28.2041291237672,0.793426212982283,2.97325329547872,0.266854564388714,0.789581140724191,0.999857109302383,50.7553439994406,0,31.5416609368957,64.8379682904628,23.1122116715937,0,27.1817189679775
"ENSMUSG00000000056","Narf",67608,"protein_coding","11",121128079,121146682,46.96,686.605932721022,0.0544463527346665,0.601415200421038,0.0905303901473555,0.927865745253106,0.999857109302383,460.85852351492,1030.05769458761,802.059378109633,835.801934994247,712.626526540807,472.754627914131,492.082843385799
"ENSMUSG00000000058","Cav2",12390,"protein_coding","6",17281184,17289114,39.77,3275.57986490238,-0.78504819348687,0.420081882896466,-1.86879802593237,0.0616509196247865,0.970917298761233,5173.99976730297,2780.10954873462,3788.60407367741,1597.64806240718,3018.06964078228,3181.34879630164,3389.27916511057
"ENSMUSG00000000078","Klf6",23849,"protein_coding","13",5911481,5920393,43.44,1527.32287084043,0.885277895420057,0.73754303323829,1.20030676926486,0.230020221745137,0.999857109302383,772.496335671485,1761.46523580449,1962.79250058739,3303.69710304999,1377.10261209913,315.836072771385,1197.87023589915
"ENSMUSG00000000085","Scmh1",29871,"protein_coding","4",120262478,120387383,39.89,583.014726914753,0.549321635203876,0.725416763331377,0.757249712125747,0.448900272433059,0.999857109302383,481.160661114696,613.469264089576,364.080886243025,1277.51059397302,324.533972221962,400.791978421916,619.555732339073
"ENSMUSG00000000088","Cox5a",12858,"protein_coding","9",57428557,57439709,42.75,3446.66999873364,0.0112768208456648,0.411445335169573,0.0274078228181081,0.978134458887233,0.999857109302383,2753.98496540964,3614.23752486882,3019.88873712964,2976.46798183406,3441.79352142817,5633.07628525167,2687.2409752135
"ENSMUSG00000000126","Wnt9a",216795,"protein_coding","11",59197754,59224378,52.53,74.5882066891674,2.06861615573941,1.87815283826341,1.10140991382368,0.270718292622919,0.999857109302383,26.3927788797091,58.9691385636491,26.1345190619993,95.2307659266172,262.901407764379,0,52.4888366278186
"ENSMUSG00000000127","Fer",14158,"protein_coding","17",64170057,64446491,40.27,373.110701108704,0.16733748781806,0.982930072339629,0.170243532604261,0.86481861731499,0.999857109302383,423.299568955334,96.0626289504607,464.113010928608,204.644837416773,378.462466122347,890.537787466153,154.654607921251
"ENSMUSG00000000131","Xpo6",74204,"protein_coding","7",125700887,125799673,43.53,714.100708585995,0.139716861881241,0.749295393674056,0.186464327768199,0.852080650560531,0.999857109302383,830.357427830848,844.590242653556,670.485592487154,1446.69716748095,398.685651334992,209.891061018959,597.997817295505
"ENSMUSG00000000134","Tfe3",209446,"protein_coding","X",7628799,7641441,51.75,666.713100994194,-0.136237198634461,0.596333519806324,-0.228458059306658,0.819290157803029,0.999857109302383,710.574815992168,744.723153150601,712.841537173843,741.584262322168,582.620335888092,334.826216387386,839.821386045097
"ENSMUSG00000000148","Brat1",231841,"protein_coding","5",140690766,140705134,51.56,275.514711549824,-0.586105047629189,0.771085857866412,-0.760103484780458,0.44719272981715,0.999857109302383,203.021375997762,437.512963536752,337.045176868543,177.291319544234,249.419284289282,246.871867008013,277.440993604184
"ENSMUSG00000000149","Gna12",14673,"protein_coding","5",140744163,140816186,47.49,1618.50787669383,-0.0590263874690695,0.460046349243288,-0.128305305685307,0.897907366482364,0.999857109302383,1043.5298726285,1834.70110143999,1512.19734434603,1542.94102666211,1220.13217449622,1618.16013233188,2557.89348495209
"ENSMUSG00000000167","Pih1d2",72614,"protein_coding","9",50528621,50536300,43.52,130.898518690528,2.50251143891636,1.77051465053012,1.41343729528986,0.157527186192037,0.999857109302383,0,61.8224839780193,161.313065934409,58.7594087632319,291.791672353871,37.980287232002,304.622712572161
"ENSMUSG00000000168","Dlat",235339,"protein_coding","9",50545933,50571080,44.1,1920.29173422819,0.330617625413635,0.361442767008031,0.914716396597,0.360340534257423,0.999857109302383,2081.98421085705,1693.93606099773,1503.1854412212,1958.30926102288,2789.83655052529,1781.07557493231,1633.71504004085
"ENSMUSG00000000171","Sdhd",66925,"protein_coding","9",50507657,50515112,45.09,2712.32103148415,-0.215621493963294,0.360758544340496,-0.597689222738916,0.550047317882101,0.999857109302383,2641.30810173089,3293.71172332124,2603.53881276262,1895.4974792415,3215.48644881048,2767.56356172141,2569.14109280091
"ENSMUSG00000000184","Ccnd2",12444,"protein_coding","6",127102125,127129156,49.26,3836.58193856599,-0.247506681508801,0.444331103530926,-0.557032086077167,0.57750550704309,0.999857109302383,3610.7351721202,5732.37093746957,4593.3670227245,5060.40080641971,2810.05973573794,2770.56200545025,2278.57789003977
"ENSMUSG00000000194","Gpr107",277463,"protein_coding","2",31042328,31108787,49.01,751.007339586664,-0.15144567762987,0.509749249819713,-0.297098382554624,0.766391399186608,0.999857109302383,939.988970869639,830.323515581705,649.758215300051,977.634990629634,616.325644575833,499.740621473711,743.279418676074
"ENSMUSG00000000197","Nalcn",338370,"protein_coding","14",123514046,123864556,38.67,637.283619478544,-0.858606332539743,0.572891170140072,-1.4987250236896,0.133944982190864,0.999857109302383,711.589922872157,1202.20953458794,618.216554363156,408.276581579008,647.141926804624,451.765521812235,421.785294330685
"ENSMUSG00000000202","Btbd17",72014,"protein_coding","11",114682043,114686771,56.02,184.929082316268,-1.16332086218532,0.966368630503633,-1.20380652420292,0.228664367449978,0.999857109302383,188.809879677919,215.903136354006,122.561882497652,110.427164744694,70.2996438344309,402.790940907811,183.710928197365
"ENSMUSG00000000223","Drp2",13497,"protein_coding","X",133305300,133357322,44.54,236.865393854695,0.0162791777086093,1.21541962692699,0.0133938743031235,0.989313554002536,0.999857109302383,16.241710079821,354.765946520018,318.120180306405,91.1783929084633,284.087601796673,276.856304296436,316.807621075048
"ENSMUSG00000000247","Lhx2",16870,"protein_coding","2",38229293,38259745,50,1345.42415714249,-0.0645957086495468,0.39118631378187,-0.165127731655679,0.868843445919623,0.999857109302383,1117.63267486768,1595.97120177102,1280.59143403796,1218.75118520979,1376.13960327948,1478.23275831924,1350.65024251226
"ENSMUSG00000000253","Gmpr",66355,"protein_coding","13",45660920,45707276,48.23,1227.41989180258,0.455913874456545,0.588338066584355,0.774918198143102,0.438387998059871,0.999857109302383,718.695671032078,602.055882432095,879.561744983148,879.364944939401,932.192537420947,3125.37784669659,1454.69061511383
"ENSMUSG00000000266","Mid2",23947,"protein_coding","X",139565348,139668464,40.18,155.858794768554,-0.0236573906242905,1.50019694716237,-0.0157695232409575,0.987418262343585,0.999857109302383,248.701185597259,81.7959018786101,72.0952249986187,49.6415694723856,275.420522419825,9.99481242947422,353.362346583707
"ENSMUSG00000000275","Trim25",217069,"protein_coding","11",88890202,88911119,48.45,68.0767163282884,-1.03736582175475,1.9261479514118,-0.538570165907762,0.590183477936908,0.999857109302383,102.52579487887,136.009464751642,48.6642768740676,71.9296210722321,44.298405703888,0,73.1094510173187
"ENSMUSG00000000278","Scpep1",74617,"protein_coding","11",88814846,88846291,47.22,1246.90363905241,0.19497951913437,0.444571282372154,0.438578754106639,0.660966794326433,0.999857109302383,1027.28816254868,1289.71212729529,1687.02826496768,1251.17016935502,1401.17783259037,972.495249387841,1099.45366722199
"ENSMUSG00000000282","Mnt",17428,"protein_coding","11",74721746,74736551,56.49,173.020326062041,0.777662698533982,0.905046593511835,0.859251561310707,0.390201741988647,0.999857109302383,151.250925118333,208.294215249019,83.8106990608943,372.818317670161,243.641231371384,51.9730246332659,99.353869331228
"ENSMUSG00000000295","Hddc2",69692,"protein_coding","10",31189379,31204200,42.09,378.337323669277,0.870526170125817,0.841935582129965,1.03395816568712,0.301155720935164,0.999857109302383,224.338620477527,269.165584088915,173.028539996685,565.306036032472,337.053086877409,778.595888256042,300.873509955889
"ENSMUSG00000000296","Tpd52l1",21987,"protein_coding","10",31208372,31321954,40.19,543.104331999117,-1.10836432547472,0.656677300682477,-1.68783712231687,0.0914424993930521,0.999857109302383,743.05823615181,373.788249282486,505.567765302814,210.723396944004,307.199813468267,1032.46412396469,628.928738879755
"ENSMUSG00000000301","Pemt",18618,"protein_coding","11",59861440,59937315,49.74,37.258533322703,0.123938835821921,2.87145050743026,0.0431624489090838,0.965572038605532,0.999857109302383,0,102.720434917324,41.4547543742058,24.3142381089235,87.6338025881262,0,4.68650327034095
